multiplier,generation,strategy,share
Constant(1),19,ContriteTfT,0.1505448879406771
Constant(1),19,Pavlov,0.1264402378686259
Constant(1),20,AllC,0.12596301546440553
Constant(1),20,AllD,1.5157731585709478e-05
Constant(1),20,Random,0.0014694393784678063
Constant(1),20,TfT,0.15069811689180873
Constant(1),20,SuspiciousTfT,0.0025050794866304234
Constant(1),20,TFT2,0.15590688473866554
Constant(1),20,Grim,0.12480954192932031
Constant(1),20,GenerousTfT,0.16143126558823148
Constant(1),20,ContriteTfT,0.1506981168918087
Constant(1),20,Pavlov,0.12650338189907587
Constant(1),21,AllC,0.1260692563662878
Constant(1),21,AllD,9.33908021102035e-06
Constant(1),21,Random,0.0011668138050029144
Constant(1),21,TfT,0.15082214741063762
Constant(1),21,SuspiciousTfT,0.0020671302372908124
Constant(1),21,TFT2,0.15607205483288697
Constant(1),21,Grim,0.12479796055263241
Constant(1),21,GenerousTfT,0.16161958632291165
Constant(1),21,ContriteTfT,0.15082214741063757
Constant(1),21,Pavlov,0.12655356398150133
Constant(1),22,AllC,0.12615699834698518
Constant(1),22,AllD,5.752446157704556e-06
Constant(1),22,Random,0.0009264128361575208
Constant(1),22,TfT,0.150922637224212
Constant(1),22,SuspiciousTfT,0.0017058878726539481
Constant(1),22,TFT2,0.15620729750103804
Constant(1),22,Grim,0.12478556205877296
Constant(1),22,GenerousTfT,0.16177333475093442
Constant(1),22,ContriteTfT,0.15092263722421193
Constant(1),22,Pavlov,0.12659347973887627
Constant(1),23,AllC,0.12622947506919263
Constant(1),23,AllD,3.5424744760200553e-06
Constant(1),23,Random,0.0007354810999300258
Constant(1),23,TfT,0.1510041209780796
Constant(1),23,SuspiciousTfT,0.0014078796926359322
Constant(1),23,TFT2,0.15631809987056794
Constant(1),23,Grim,0.12477310087952284
Constant(1),23,GenerousTfT,0.16189892565902625
Constant(1),23,ContriteTfT,0.15100412097807953
Constant(1),23,Pavlov,0.12662525329848934
Constant(1),24,AllC,0.12628935035492314
Constant(1),24,AllD,2.1811610118053544e-06
Constant(1),24,Random,0.0005838627500774964
