multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),TfT,AllC,1,600.0,600.0,1.0,1.0,200
Constant(1),TfT,AllD,1,199.0,204.0,0.005,0.0,200
Constant(1),TfT,Random,1,422.0,427.0,0.45,0.445,200
Constant(1),TfT,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),TfT,SuspiciousTfT,1,500.0,500.0,0.5,0.5,200
Constant(1),TfT,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),TfT,GenerousTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),TfT,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),SuspiciousTfT,AllC,1,602.0,597.0,0.995,1.0,200
Constant(1),SuspiciousTfT,AllD,1,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,Random,1,423.0,423.0,0.445,0.445,200
Constant(1),SuspiciousTfT,TfT,1,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,SuspiciousTfT,1,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,TFT2,1,602.0,597.0,0.995,1.0,200
Constant(1),SuspiciousTfT,Grim,1,203.0,203.0,0.005,0.005,200
Constant(1),SuspiciousTfT,GenerousTfT,1,599.0,594.0,0.98,0.985,200
Constant(1),SuspiciousTfT,ContriteTfT,1,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,Pavlov,1,401.0,401.0,0.335,0.335,200
Constant(1),TFT2,AllC,1,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,AllD,1,198.0,208.0,0.01,0.0,200
Constant(1),TFT2,Random,1,353.0,588.0,0.68,0.445,200
Constant(1),TFT2,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,SuspiciousTfT,1,597.0,602.0,1.0,0.995,200
Constant(1),TFT2,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,GenerousTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,AllC,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,AllD,1,199.0,204.0,0.005,0.0,200
Constant(1),Grim,Random,1,555.0,115.0,0.005,0.445,200
Constant(1),Grim,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,SuspiciousTfT,1,203.0,203.0,0.005,0.005,200
Constant(1),Grim,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,GenerousTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),Grim,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,AllC,1,600.0,600.0,1.0,1.0,200
